City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kapaa,US,22.08,-159.32,84.2,62.0,1.0,14.99
Rikitea,PF,-23.12,-134.97,75.76,81.0,32.0,11.48
Tasiilaq,GL,65.61,-37.64,39.2,80.0,77.0,10.29
Puerto Ayora,EC,-0.74,-90.35,72.0,91.0,100.0,3.0
Forsytheganj,BY,52.63,29.73,63.14,97.0,87.0,4.14
Kaitangata,NZ,-46.28,169.85,48.0,77.0,100.0,1.99
Albany,US,42.6,-73.97,68.0,56.0,21.0,0.98
Kununurra,AU,-15.77,128.73,80.6,25.0,0.0,13.87
Chui,UY,-33.7,-53.46,54.84,92.0,74.0,9.53
Belyy Yar,RU,53.6,91.39,57.2,76.0,70.0,6.71
Castro,BR,-24.79,-50.01,54.75,97.0,68.0,7.74
Blackfoot,US,43.19,-112.34,75.2,22.0,40.0,13.87
Camapuã,BR,-19.53,-54.04,72.19,57.0,0.0,10.85
Ushuaia,AR,-54.8,-68.3,39.2,80.0,20.0,5.82
North Bend,US,43.41,-124.22,60.01,87.0,90.0,5.82
Hobart,AU,-42.88,147.33,59.0,51.0,20.0,29.97
Husavik,IS,66.04,-17.34,46.4,65.0,91.0,23.04
Ostrovnoy,RU,68.05,39.51,44.65,71.0,91.0,14.34
Klaksvík,FO,62.23,-6.59,50.0,100.0,100.0,5.82
Tiarei,PF,-17.53,-149.33,84.2,70.0,75.0,11.41
Pevek,RU,69.7,170.31,42.49,76.0,0.0,1.77
Vila Velha,BR,-20.33,-40.29,73.4,88.0,90.0,14.99
Parsons,US,37.34,-95.26,90.0,40.0,1.0,6.93
Yulara,AU,-25.24,130.99,53.6,40.0,0.0,11.41
Muravlenko,RU,63.79,74.52,54.19,66.0,100.0,17.22
Maţāy,EG,28.42,30.78,70.48,47.0,0.0,7.31
Hailun,CN,47.45,126.93,70.21,65.0,11.0,8.66
Norman Wells,CA,65.28,-126.83,66.2,32.0,75.0,3.36
Khatanga,RU,71.97,102.5,51.31,53.0,24.0,8.72
Punta Arenas,CL,-53.15,-70.92,32.0,84.0,1.0,2.24
East London,ZA,-33.02,27.91,62.33,70.0,100.0,8.79
Bredasdorp,ZA,-34.53,20.04,44.6,93.0,0.0,5.01
Ridgecrest,US,35.62,-117.67,96.8,13.0,75.0,18.34
Caravelas,BR,-17.71,-39.25,76.01,77.0,100.0,11.68
Kautokeino,NO,69.01,23.04,42.93,64.0,81.0,7.18
Mossamedes,AO,-15.2,12.15,69.62,62.0,0.0,1.23
Sumter,US,28.71,-82.08,81.0,69.0,2.0,5.01
São Domingos do Maranhão,BR,-5.58,-44.39,73.6,73.0,0.0,3.96
New Norfolk,AU,-42.78,147.06,57.99,75.0,46.0,7.0
Cape Town,ZA,-33.93,18.42,46.99,93.0,0.0,3.36
Fare,PF,-16.7,-151.02,79.92,83.0,59.0,13.71
Casambalangan,PH,18.38,122.13,86.43,66.0,10.0,4.16
Saldanha,ZA,-33.01,17.94,50.0,81.0,0.0,2.24
Port Elizabeth,ZA,-33.92,25.57,55.4,93.0,40.0,4.7
Atuona,PF,-9.8,-139.03,80.55,74.0,61.0,12.21
Cabo San Lucas,MX,22.89,-109.91,91.99,21.0,5.0,13.87
San Luis,AR,-33.3,-66.34,46.44,53.0,0.0,2.19
Mataura,NZ,-46.19,168.86,54.97,71.0,99.0,4.23
Gaoual,GN,11.75,-13.2,76.71,91.0,100.0,5.82
Lufilufi,WS,-13.87,-171.6,87.8,74.0,75.0,13.87
Mahébourg,MU,-20.41,57.7,69.01,77.0,98.0,5.01
São Filipe,CV,14.9,-24.5,76.95,78.0,0.0,4.0
Hofn,IS,64.25,-15.21,47.86,82.0,7.0,12.93
Troitsko-Pechorsk,RU,62.71,56.2,62.73,65.0,92.0,7.92
Saint-Philippe,RE,-21.36,55.77,66.2,82.0,90.0,11.41
Bambous Virieux,MU,-20.34,57.76,69.01,77.0,100.0,5.01
George Town,MY,5.41,100.34,77.0,100.0,40.0,4.43
Half Moon Bay,US,37.46,-122.43,70.0,77.0,75.0,12.75
Nikolskoye,RU,59.7,30.79,66.2,82.0,40.0,2.51
Honiara,SB,-9.43,159.95,87.8,58.0,75.0,18.34
Kurumkan,RU,54.3,110.3,74.52,41.0,0.0,2.77
Inawayan,PH,6.96,125.47,82.4,74.0,40.0,10.29
Chokurdakh,RU,70.63,147.92,71.04,43.0,98.0,7.2
Libertador General San Martín,AR,-23.81,-64.79,58.14,51.0,0.0,2.39
Yellowknife,CA,62.46,-114.35,53.6,66.0,75.0,17.22
Makakilo City,US,21.35,-158.09,86.0,51.0,20.0,14.99
The Pas,CA,53.83,-101.25,71.6,33.0,1.0,21.92
Laguna,US,38.42,-121.42,82.4,34.0,1.0,17.22
Naze,JP,28.37,129.48,80.6,88.0,75.0,17.22
Kambove,CD,-10.88,26.6,50.54,81.0,0.0,6.08
Tiznit Province,MA,29.58,-9.5,70.34,36.0,0.0,1.86
Shimoda,JP,34.67,138.95,77.0,73.0,75.0,4.7
Carnarvon,AU,-24.87,113.63,59.0,24.0,0.0,9.17
Goderich,CA,43.75,-81.72,62.01,74.0,0.0,10.45
Busselton,AU,-33.65,115.33,57.99,85.0,70.0,9.04
Ilulissat,GL,69.22,-51.1,35.6,80.0,82.0,6.93
Torbay,CA,47.67,-52.73,48.2,100.0,90.0,3.36
Tessalit,ML,20.2,1.01,94.26,10.0,0.0,14.25
La Grande,US,45.32,-118.09,55.4,82.0,90.0,5.82
Bethel,US,41.37,-73.41,66.2,59.0,1.0,4.7
Lalupon,NG,7.47,4.07,73.98,97.0,100.0,2.62
Kimbe,PG,-5.55,150.14,89.69,57.0,11.0,2.64
Chumikan,RU,54.72,135.31,38.26,96.0,100.0,9.06
Esperance,AU,-33.87,121.9,51.8,81.0,100.0,6.93
Labuhan,ID,-6.88,112.21,81.25,84.0,100.0,6.78
Shahr-e Kord,IR,32.33,50.86,51.8,34.0,0.0,4.7
Te Anau,NZ,-45.42,167.72,52.72,86.0,100.0,5.91
Ponnāni,IN,10.77,75.93,75.2,94.0,90.0,2.24
Mackenzie,CA,55.3,-123.17,62.6,36.0,90.0,10.29
Vaini,TO,-21.2,-175.2,75.2,60.0,20.0,14.99
Isangel,VU,-19.55,169.27,80.6,61.0,20.0,13.87
Aykhal,RU,66.0,111.5,53.6,58.0,90.0,6.71
Ossora,RU,59.24,163.07,56.05,57.0,80.0,8.41
Cockburn Town,TC,21.46,-71.14,82.45,81.0,100.0,16.17
Vila do Maio,CV,15.13,-23.22,80.6,78.0,0.0,5.82
Upernavik,GL,72.79,-56.15,32.99,92.0,28.0,11.1
Bondeno,IT,44.89,11.41,64.99,87.0,100.0,1.88
Urusha,RU,54.05,122.9,67.01,52.0,24.0,5.55
Touros,BR,-5.2,-35.46,77.0,94.0,40.0,4.7
Nouadhibou,MR,20.93,-17.03,86.0,42.0,15.0,32.21
Hermanus,ZA,-34.42,19.23,53.01,88.0,7.0,1.99
Buta,CD,2.79,24.73,68.99,96.0,80.0,0.96
Kuruman,ZA,-27.45,23.43,42.04,55.0,0.0,15.88
Gisborne,NZ,-38.65,178.0,60.01,58.0,100.0,5.01
Bilibino,RU,68.05,166.44,71.92,32.0,49.0,3.47
Valparaíso,CL,-33.04,-71.63,55.4,87.0,75.0,12.75
Tiksi,RU,71.69,128.87,52.63,74.0,100.0,19.95
Bluff,NZ,-46.6,168.33,55.98,77.0,98.0,11.54
Saint George,US,37.1,-113.58,93.99,9.0,1.0,12.75
Katsuura,JP,35.13,140.3,82.0,78.0,75.0,6.93
Ribeira Grande,PT,38.52,-28.7,63.9,87.0,1.0,15.14
Roald,NO,62.58,6.13,55.0,100.0,90.0,12.75
Tuktoyaktuk,CA,69.45,-133.04,66.2,37.0,75.0,16.11
Cherskiy,RU,68.75,161.3,77.31,27.0,0.0,7.23
Hithadhoo,MV,-0.6,73.08,84.27,76.0,11.0,14.83
Provideniya,RU,64.38,-173.3,57.2,62.0,100.0,8.95
Olafsvik,IS,64.89,-23.71,46.2,73.0,97.0,16.26
Nanortalik,GL,60.14,-45.24,41.27,84.0,100.0,11.12
Avarua,CK,-21.21,-159.78,75.2,57.0,5.0,6.93
Souillac,MU,-20.52,57.52,69.01,77.0,92.0,5.01
Katangli,RU,51.71,143.23,44.28,80.0,100.0,5.84
Arraial do Cabo,BR,-22.97,-42.03,70.03,76.0,73.0,12.35
Aranos,NA,-24.13,19.12,40.84,56.0,0.0,9.64
Kānker,IN,20.27,81.49,78.64,82.0,100.0,12.93
Qaanaaq,GL,77.48,-69.36,31.51,95.0,1.0,3.04
Maragogi,BR,-9.01,-35.22,75.99,88.0,16.0,10.65
General Roca,AR,-39.03,-67.58,37.4,86.0,100.0,2.24
Barrow,US,71.29,-156.79,42.8,75.0,1.0,12.75
Udachny,RU,66.42,112.4,53.6,58.0,90.0,6.71
Jamestown,US,42.1,-79.24,66.2,42.0,1.0,6.93
Stokmarknes,NO,68.56,14.91,45.0,76.0,95.0,8.01
Sur,OM,22.57,59.53,89.83,50.0,63.0,6.6
Vostok,RU,46.49,135.88,48.2,100.0,100.0,1.61
Korla,CN,41.76,86.15,72.0,49.0,2.0,1.01
Okhotsk,RU,59.38,143.3,60.53,53.0,0.0,11.9
Lensk,RU,60.73,114.93,70.41,59.0,23.0,3.4
Port Alfred,ZA,-33.59,26.89,57.0,96.0,100.0,4.59
San Quintín,MX,30.48,-115.95,67.33,68.0,0.0,9.04
Asău,RO,46.43,26.4,57.0,92.0,97.0,2.71
Tuatapere,NZ,-46.13,167.68,55.08,81.0,74.0,6.44
Lorengau,PG,-2.02,147.27,85.08,72.0,100.0,10.76
San Patricio,MX,19.22,-104.7,82.4,74.0,5.0,11.41
Lebu,CL,-37.62,-73.65,53.74,86.0,16.0,18.63
Carambeí,BR,-24.92,-50.1,52.74,100.0,35.0,8.25
Elesbão Veloso,BR,-6.2,-42.14,74.17,72.0,0.0,5.08
Vrangel',RU,42.73,133.08,60.62,73.0,15.0,4.74
Lundazi,ZM,-12.29,33.18,54.97,79.0,0.0,9.82
Sevierville,US,35.87,-83.56,71.6,56.0,1.0,4.7
Necochea,AR,-38.55,-58.74,48.99,89.0,100.0,11.01
Amga,RU,60.9,131.96,70.05,46.0,0.0,4.27
Porto Santo,PT,33.07,-16.34,69.8,88.0,40.0,6.93
Cidreira,BR,-30.18,-50.21,62.65,88.0,1.0,19.22
Saint Paul Harbor,US,57.79,-152.41,57.2,50.0,90.0,10.29
Itarema,BR,-2.92,-39.92,77.63,87.0,37.0,9.98
Catuday,PH,16.29,119.81,83.62,76.0,100.0,11.23
Mehamn,NO,71.04,27.85,41.18,70.0,100.0,22.7
Hasaki,JP,35.73,140.83,82.0,69.0,75.0,2.24
Coquimbo,CL,-29.95,-71.34,55.4,82.0,75.0,3.36
Kavieng,PG,-2.57,150.8,84.16,74.0,96.0,12.46
Monrovia,LR,6.3,-10.8,78.8,94.0,40.0,6.24
Maniitsoq,GL,65.42,-52.9,37.92,85.0,100.0,5.46
Dikson,RU,73.51,80.55,33.91,94.0,97.0,11.36
Walvis Bay,NA,-22.96,14.51,68.0,18.0,0.0,3.36
Paamiut,GL,61.99,-49.67,40.33,92.0,100.0,30.44
Ţahţā,EG,26.77,31.5,82.4,30.0,0.0,13.87
Algarrobo,CO,10.19,-74.58,82.0,84.0,63.0,0.27
Beloha,MG,-25.17,45.05,61.27,95.0,8.0,5.95
Butaritari,KI,3.07,172.79,83.8,76.0,30.0,11.12
Lucapa,AO,-8.42,20.74,59.97,48.0,100.0,3.38
St. George's,GD,12.06,-61.75,82.4,78.0,20.0,16.75
Ulagan,RU,50.63,87.96,54.91,71.0,76.0,1.05
Los Llanos de Aridane,ES,28.66,-17.92,73.4,78.0,100.0,2.24
Bengkulu,ID,-3.8,102.27,80.8,73.0,6.0,3.71
Otradnoye,RU,59.78,30.82,66.2,82.0,40.0,2.53
Espera Feliz,BR,-20.65,-41.91,61.03,96.0,90.0,4.72
Lagoa,PT,39.05,-27.98,63.86,83.0,0.0,15.43
Pochutla,MX,15.74,-96.47,86.0,70.0,20.0,4.7
Severo-Kuril'sk,RU,50.68,156.12,43.0,85.0,100.0,13.71
Yining,CN,29.04,114.56,87.12,65.0,42.0,5.03
Tymovskoye,RU,50.85,142.66,51.15,73.0,100.0,2.59
Port Hedland,AU,-20.32,118.57,71.6,28.0,0.0,10.29
Pacific Grove,US,36.62,-121.92,66.99,68.0,75.0,18.34
Chicla,PE,-11.71,-76.27,47.71,52.0,52.0,4.29
Andenes,NO,69.31,16.12,42.8,87.0,100.0,3.36
Manali,IN,13.17,80.27,86.0,70.0,40.0,6.93
Tura,IN,25.52,90.22,77.43,94.0,100.0,6.44
Nagato,JP,34.38,131.2,78.8,65.0,20.0,11.41
Miraflores,MX,19.22,-98.81,78.8,12.0,5.0,11.41
Hobyo,SO,5.35,48.53,79.38,72.0,4.0,20.98
Road Town,VG,18.42,-64.62,82.99,82.0,6.0,17.0
Mar del Plata,AR,-38.0,-57.56,54.0,87.0,99.0,12.75
Antofagasta,CL,-23.65,-70.4,59.0,82.0,90.0,8.05
Longuenesse,FR,50.73,2.24,59.0,95.0,3.0,3.04
Saint-Ambroise,CA,48.55,-71.33,68.0,40.0,40.0,3.36
Finale Ligure,IT,44.17,8.34,64.99,100.0,20.0,10.29
Hilo,US,19.73,-155.09,82.4,61.0,75.0,9.17
Genk,BE,50.97,5.5,64.4,77.0,77.0,8.05
Rio Grande,BR,-32.03,-52.1,58.69,91.0,86.0,12.03
Stege,DK,54.99,12.28,61.0,71.0,0.0,3.36
Vozhega,RU,60.47,40.22,52.79,96.0,100.0,4.36
Hong Kong,HK,22.29,114.16,86.0,79.0,0.0,1.99
Diamantino,BR,-14.41,-56.45,71.56,57.0,0.0,2.57
Kruisfontein,ZA,-34.0,24.73,52.66,85.0,67.0,2.44
Kwang Binh,VN,17.48,106.6,81.5,74.0,100.0,6.69
Bilma,NE,18.69,12.92,88.92,15.0,0.0,9.82
Chute-aux-Outardes,CA,49.12,-68.4,64.4,39.0,1.0,11.41
Kalabo,ZM,-14.97,22.68,54.21,67.0,0.0,5.86
Ixtapa,MX,20.7,-105.2,82.4,65.0,20.0,12.75
San Policarpo,PH,12.18,125.51,83.71,72.0,89.0,5.77
Oranjemund,NA,-28.55,16.43,59.92,31.0,21.0,13.0
Vila,PT,42.03,-8.16,62.01,93.0,20.0,5.82
Uray,RU,60.12,64.78,61.66,68.0,18.0,7.9
Nālūt,LY,30.33,10.85,69.06,29.0,0.0,11.14
Marsá Maţrūḩ,EG,31.35,27.25,69.8,73.0,0.0,12.5
Praia,CV,14.92,-23.51,80.6,78.0,0.0,5.82
Ilām,NP,26.92,87.92,68.88,83.0,100.0,3.31
Fairbanks,US,64.84,-147.72,75.2,41.0,1.0,3.36
Krasnoarmiys'k,UA,48.28,37.18,62.22,81.0,100.0,10.54
